Site,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Lawson,15.0,490.0,0.0,0.0,12.0,0.0,159.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0
Nott,1.0,19.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Chicoutimi,0.0,11.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,6.0,0.0
Masson,3.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,15.0
Salem,157.0,368.0,4.0,2.0,0.0,120.0,0.0,9.0,0.0,103.0,397.0,0.0,0.0,0.0,185.0,7.0,0.0,0.0,1.0,7.0,22.0,3.0,0.0,1.0,207.0,4.0,1.0,442.0,189.0
Steward,7.0,25.0,0.0,3.0,0.0,12.0,5.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,57.0,0.0
Sugarbush,78.0,78.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,14.0,54.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,64.0,26.0
Summerstown,223.0,179.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,6.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,30.0
Boyle-Atkinson,11.0,96.0,0.0,3.0,0.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Damiani,5.0,257.0,0.0,4.0,0.0,3.0,0.0,0.0,26.0,0.0,8.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0
Draper,374.0,7073.0,0.0,33.0,14.0,292.0,86.0,64.0,3059.0,59.0,39.0,0.0,98.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,116.0,9.0
Dunsmore,19.0,82.0,17.0,30.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0
