"Burke","Buyea","Cemetery","Garoga","Getman","Goff","Klinko","Long Point","Nichols Pond","Otsungo","Smith","Chaumont","Durham","Frank","Heath","Matteson","Morse","Mud Creek","Potaki","St Lawrence","Swarthout","Whitford","Lawson","Nott","Chicoutimi","Masson","Salem","Steward","Sugarbush","Summerstown","Boyle-Atkinson","Damiani","Draper","Dunsmore","Fournier","Hardrock","Hidden Springs","Jarrett-Lahmer","Joseph Picard","Keffer","Lite","O-M-G","Parsons","Payne","Quackenbush","Rumney Bay","Spang","Waupoos","Buffum","Atwell","Barnes","Belcher","Cayadutta","Cromwell","Ganada","Richmond Mills","Temperance House","Wormuth","Hanes","27VII","Cleary","Dawson","Glenbrook","Mailhot-Curran","Maynard-McKeown","Roebuck","Augoutenc","Aurora","Copeland","Coulter","Emmerson Springs","Goodeve","Kirche","Mantle","Seed-Barker","White","Woodbridge"
"Smith",103.816986855409,91.1794019933555,78.4883720930233,108.198327671806,96.1886304909561,79.6234772978959,51.6279069767442,40.1649673502119,84.3163351078734,117.233599444637,200,49.992822279644,58.9103736608309,52.2627278441232,78.107822410148,57.1705426356589,76.3964355574875,42.6058437686345,80.9287970140683,50.0235990732,60.752688172043,66.4383561643835,17.2911283376399,19.0863787375415,19.1860465116279,85.2445870088212,54.9109518294782,43.5769656699889,55.4807943558923,47.3896535358329,36.5097371903952,23.4688718763542,27.1387609865755,38.3317650221804,33.5784438450969,37.8824969400245,23.3539716097856,30.7501008200027,38.9094331562225,27.2992786741745,35.9819121447028,35.1744186046512,25.7465253887436,38.1964878974846,39.2387011847301,53.8205980066445,17.5318000770911,38.7400923264524,22.6048499304313,77.2093023255814,74.0176423416199,53.6997885835095,131.615336266499,109.474287585981,87.9492600422833,59.5967985502869,55.6350626118068,97.0850589359669,21.9873150105708,68.1127012522361,57.3504983388704,69.3552789605852,58.8967414009191,52.8058645096057,76.1096682800142,49.9969115784922,22.0682830282039,20.7751937984496,31.219743711438,31.9249969560453,25.3618474548707,29.5116279069767,28.8768380435916,29.4717607973422,20.2585233687062,29.9642218246869,29.0213178294574
"Chaumont",60.7622114868492,49.3121693121693,56.0956790123457,32.4178110694965,21.604938271605,96.8253968253968,104.135802469136,94.2042206410023,53.1905399375279,17.3392297770407,49.992822279644,200,115.439034540158,116.716716716717,124.197530864198,116.666666666667,111.203415253259,149.85754985755,127.16049382716,152.867750899731,160.254878534448,131.337730424488,68.3760683760684,69.9118165784832,116.049382716049,45.3810131971051,106.049881195686,118.871252204586,129.719794701068,120.030234315949,93.4056007226739,80.3772716816195,79.5427349173277,109.07014914722,94.7375530161818,113.450292397661,81.8662818662819,93.1492185827446,108.401014868677,84.5377407809547,106.172839506173,101.543209876543,97.5381693330411,93.6659108087679,115.071045888656,116.931216931217,68.0990382647841,116.909418782078,77.6828110161444,111.604938271605,44.8701575138357,119.135802469136,61.4614614614615,87.0457311771866,21.2401795735129,127.577360910694,78.5375118708452,42.4826653137156,73.6812570145903,83.7606837606838,135.582010582011,95.8094244479221,110.760885636135,115.590689503733,50.6235507927555,105.631793812405,74.4943525085369,76.604938271605,118.493323255228,86.4132893801306,83.1218164551498,84.7407407407407,85.0550849803466,82.9065255731922,73.9901714011746,89.4586894586894,102.777777777778
"Durham",80.4592085979482,62.8143392188336,66.7134831460674,44.1947565543071,23.4082397003745,81.5944355270198,79.1573033707865,70.3713953617092,65.3580614593204,34.4289787019956,58.9103736608309,115.439034540158,200,107.925903431521,127.139938712972,86.2047440699126,122.198886905387,112.590031691155,146.525176862256,98.4452091711928,132.028512746164,111.14360474065,34.3416882742725,34.9277688603531,93.8826466916355,52.6152654010073,117.63424924766,162.546816479401,123.033707865169,96.1209202782237,60.1077920891568,46.6047874938935,45.8940146456158,64.2073131129441,62.2550586384088,74.4924108022866,49.0442142127535,63.317529388842,68.3161547491583,52.0147860776635,54.7940074906367,74.185393258427,73.1201382886776,71.8917679431323,75.5847643276094,81.3001605136437,35.8060711403563,92.8838951310861,56.2758090847979,112.009987515605,56.7996900426191,89.9897854954035,58.0321894928636,74.8536160784934,36.0316649642492,86.7941047716329,94.0363007778738,57.3803293827921,51.2087163772557,97.1477960242005,110.613964686998,79.3479981009653,115.62100518065,134.103122085535,48.8735527291393,124.125221958608,39.73224958164,51.4606741573034,90.0298096766796,54.3443731984234,50.1925041250884,50.5468164794007,52.9752607446969,58.2001070090958,50.5890694883823,61.6248919619706,82.7715355805243
"Frank",77.9083431257344,54.3114543114543,50.3378378378378,32.6956169652799,22.0720720720721,95.8815958815959,112.027027027027,114.765011316735,52.3607945294692,22.1863654699476,52.2627278441232,116.716716716717,107.925903431521,200,142.334152334152,103.603603603604,123.617075018944,116.978516978517,115.615615615616,118.779295901067,121.825050857309,129.470566456868,37.5606375606376,38.1467181467181,76.2762762762763,50.232991612302,95.1705406617923,91.2054912054912,131.931369571819,133.655083655084,63.3267413755219,50.4448547926809,49.6874724887754,75.613185439775,63.2207700041398,77.1692745376956,59.9157599157599,67.6925480393688,77.2085518354175,65.1142999677202,57.4324324324324,81.9594594594595,78.5862785862786,88.8472145615003,97.841237463879,93.4362934362934,41.2722114379573,109.86941998178,66.2970662970663,115.315315315315,49.2078285181733,137.592137592138,62.1621621621622,103.311762466692,25.3071253071253,132.818532818533,93.3471933471933,43.5394298407997,55.1597051597051,80.8731808731809,111.245173745174,76.5892653216597,128.598883314452,94.2420681551116,55.1515982988064,94.2249021930297,45.1983898792409,62.8378378378378,73.1016731016731,58.0868826942125,54.8100548100548,59.0990990990991,56.8718943158405,67.0441870441871,63.8283914982944,72.9209979209979,90.1088588588589
"Heath",79.4071146245059,79.0909090909091,86.5909090909091,62.7340823970038,33.1313131313131,119.82683982684,112.727272727273,103.864755933721,81.8729463307777,52.0081411126187,78.107822410148,124.197530864198,127.139938712972,142.334152334152,200,96.2626262626263,152.999150382328,102.331002331002,141.279461279461,112.559543777256,140.459433040078,144.520547945205,39.5104895104895,42.0779220779221,74.5454545454545,62.6332288401254,107.337982788858,99.8989898989899,138.539325842697,122.770562770563,59.9852180339985,47.7244494635799,46.957558683943,67.1623751970573,68.4961209468868,79.1068580542265,51.1688311688312,64.6032580136626,73.6374073687507,55.3666962787484,57.2222222222222,79.7727272727273,73.4265734265734,76.2152133580705,91.8467695826186,94.8051948051948,34.4550477147162,97.8311201906708,54.9106449106449,122.626262626263,77.5862068965517,116.363636363636,72.4570024570025,104.04609475032,53.6363636363637,118.311688311688,100.34965034965,74.6575342465754,48.1818181818182,99.7902097902098,131.396103896104,84.4728979940247,150.04763200871,91.2648221343874,56.5343793262575,113.650046279528,43.6750483558994,50.7575757575758,78.0457637600495,55.2689195621133,54.2657342657343,56.7878787878788,55.9967386873217,61.5757575757576,54.6160635481024,69.9300699300699,82.4747474747475
"Matteson",83.8164251207729,52.8571428571429,57.6388888888889,38.0149812734082,22.2222222222222,63.4920634920635,101.666666666667,81.0618500273673,60.7764390896921,29.6849087893864,57.1705426356589,116.666666666667,86.2047440699126,103.603603603604,96.2626262626263,200,95.8463136033229,145.299145299145,93.8271604938272,154.448544485445,126.702508960573,116.89497716895,91.025641025641,94.6031746031746,127.777777777778,50.3831417624521,81.8827575893525,94.4444444444444,96.8789013732834,102.947845804989,112.330623306233,97.6190476190476,99.9721219590926,132.626846499679,114.053002674447,134.502923976608,105.411255411255,119.749518304432,127.739507590254,108.5776330076,131.111111111111,146.666666666667,128.402366863905,131.269841269841,132.180293501048,138.095238095238,91.6206261510129,120.287141073658,125.213675213675,134.444444444444,41.5708812260536,116.666666666667,73.8738738738739,67.3708920187794,28.030303030303,119.76911976912,93.5897435897436,44.2922374429224,104.545454545455,66.2393162393162,113.690476190476,78.6384976525822,85.7119095143047,88.6912604303909,50.7614213197969,63.3687472332891,68.0851063829787,103.333333333333,123.650793650794,114.223385689354,107.109557109557,106.666666666667,106.203288490284,114.31746031746,120.064724919094,133.333333333333,142.361111111111
"Morse",94.3518894758228,99.3858477970628,103.154205607477,74.4723301480626,27.8296988577362,90.3426791277259,83.8317757009346,75.8022190506883,102.499718500169,69.4518063886177,76.3964355574875,111.203415253259,122.198886905387,123.617075018944,152.999150382328,95.8463136033229,200,101.341960220465,137.337025499019,112.108149118874,124.871872173651,130.047369094866,28.4926911095135,29.0787716955941,74.7663551401869,67.0319046084435,121.582957027794,98.2791870642338,129.076971542581,100.724775891665,57.9971126814072,43.8613803912463,42.3626372270166,67.1708713737777,59.8662549336387,74.0941137891458,48.0398106566331,62.8545189346875,71.8950180799811,51.6775413423713,56.2461059190031,75.4672897196262,70.7017640878173,81.4991417127599,83.4597072826662,87.1161548731642,32.2042649868333,99.5134586439847,52.6319993609713,132.336448598131,105.156300354496,92.4171622769754,71.9878757261935,92.8129524812426,74.5114698385727,96.7350406602743,121.207764198418,85.6356420432723,44.2225998300765,102.228612508986,113.200934579439,83.2828748190075,141.155073031507,88.9180303645968,60.8567768869491,125.526967933045,39.8687611851263,47.2274143302181,68.3260219975841,56.3830307775114,48.0752891967845,49.3707165109034,54.5681237165249,59.3466844681798,50.1633245621994,64.8094895758447,79.1017653167186
"Mud Creek",79.041248606466,43.2234432234432,48.8782051282051,29.0982425813887,21.3675213675214,63.3699633699634,116.923076923077,88.493116079323,48.5016991041088,12.5908916953693,42.6058437686345,149.85754985755,112.590031691155,116.978516978517,102.331002331002,145.299145299145,101.341960220465,200,110.731244064577,147.809631942473,154.342431761787,117.386722866175,70.0854700854701,72.3809523809524,121.937321937322,43.0592396109637,100.873106256686,122.344322344322,116.522615960818,105.834641548927,88.0550343964978,76.2860328077719,74.0878688761425,109.500518749074,91.2977613196432,126.38326585695,75.8907758907759,92.2484066992737,103.252965939533,85.7262173223085,108.632478632479,119.807692307692,102.564102564103,113.553113553114,110.88534107402,124.908424908425,64.697549227936,142.149236531259,105.982905982906,125.128205128205,37.842617152962,131.410256410256,56.4795564795565,62.7663416395811,14.2191142191142,138.561438561439,89.7435897435898,31.4717246224096,84.2657342657343,89.7435897435897,116.208791208791,90.1408450704225,99.5182711500077,112.17188608493,48.2233502538071,88.1056968706371,74.30441898527,84.7435897435897,112.035583464155,86.2531883474292,81.5850815850816,82.8717948717949,81.9707945268483,86.8864468864469,98.6432661189943,105.769230769231,121.688034188034
"Potaki",59.9570585077832,66.5255731922398,86.9598765432099,61.5619364683035,27.1604938271605,89.2416225749559,91.4814814814815,77.7169616250076,73.4791015915514,48.2034273079049,80.9287970140683,127.16049382716,146.525176862256,115.615615615616,141.279461279461,93.8271604938272,137.337025499019,110.731244064577,200,109.18864744203,134.687375547591,119.550143751057,23.6467236467236,24.2328042328042,87.6543209876543,61.3452532992763,102.19331040327,126.278659611993,115.556942710501,84.0388007054674,51.8217404396266,37.7808450272218,35.8574644133819,63.1556411903233,50.5443444903693,71.8973359324237,39.361872695206,57.2468422179405,71.334212130232,44.7661559496522,51.8518518518518,67.0061728395062,62.2032288698955,65.6487780297304,83.1586303284416,85.0970017636684,25.4416479094195,94.2849216257456,49.002849002849,108.148148148148,67.0923797360579,98.0359147025814,66.2996329662996,90.4016692749087,49.8316498316498,98.1721981721982,74.9287749287749,72.8056823947235,40.0112233445567,95.5365622032289,103.218694885362,69.8139454007999,113.33998669328,117.845117845118,51.3630381650686,120.948305543259,28.8153401628579,42.6543209876543,78.2363315696649,50.11957856635,43.6933436933437,39.8518518518518,43.6278580523723,50.299823633157,43.8751048783411,61.2060778727445,74.3827160493827
"St Lawrence",72.2605486924435,50.3321033210332,45.3182656826568,30.9202979670246,19.9671996719967,90.0896151818661,113.394833948339,103.899078399651,48.1483128084293,16.3187751280498,50.0235990732,152.867750899731,98.4452091711928,118.779295901067,112.559543777256,154.448544485445,112.108149118874,147.809631942473,109.18864744203,200,149.133039717494,137.127837031795,80.9747584655334,80.9910384818134,125.488588219216,48.5048988420919,85.946902537666,103.608036080361,115.848501181641,125.785074177272,110.311103111031,95.2327473585295,93.8508372670662,130.328690570143,108.395843258214,141.202175179647,99.5686969856712,113.808843290745,132.452412928262,104.783025028947,127.956129561296,131.107011070111,121.098713945719,131.940658182092,141.711341641718,144.043226146547,83.931010580824,122.105670494907,104.487967956603,123.542435424354,35.7042880773635,131.063401543106,61.6834546723846,81.5030403825165,17.150285139215,137.139981789428,86.3184785694011,39.2053783551534,95.7508665995751,83.9057621345444,133.730890880337,93.7719799733209,106.569149523831,97.5044849262722,52.3273456084815,85.8798508303808,76.0304624322839,96.2054120541205,113.590882847604,109.737060721393,100.451577942353,100.30012300123,104.779673357272,111.316347449189,102.271343101781,124.162645472609,126.022447724477
